species_id,genus,species,common_name
186,Solidago,missouriensis,Missouri goldenrod
197,Asclepias,incarnata,swamp milkweed
201,Cephalanthus,occidentalis,common buttonbush
202,Echinacea,purpurea,eastern purple coneflower
203,Helianthus,annuus,common sunflower
204,Liatris,aspera,tall blazing star
207,Symphyotrichum,ericoides,white heath aster
224,Asclepias,speciosa,showy milkweed
781,Acer,saccharinum,silver maple
845,Dalea,purpurea,purple prairie clover
916,Lobelia,cardinalis,cardinalflower
931,Monarda,fistulosa,wild bergamot
1163,Salix,gooddingii,Goodding's willow
1167,Verbesina,encelioides,golden crownbeard
1334,Asclepias,perennis,aquatic milkweed
200,Asclepias,viridis,green antelopehorn
