"common_name","priority","LA","NM","OK","TX","n_plants","n_plants_sc","n_plants_z789","n_plantyrs","n_plantyrs_sc","n_plantyrs_z789","mn_wkobs","mn_wkobs_sc","mn_wkobs_z789"
"common buttonbush",1,1,0,1,0,83,26,42,169,44,98,51.2,10.3,30.9
"common sunflower",1,0,1,1,0,82,18,33,109,28,44,20.3,9.7,10.5
"eastern purple coneflower",1,1,1,1,0,157,12,38,303,16,67,84.8,3.3,25.4
"showy milkweed",1,0,1,1,0,36,1,6,70,7,18,18.5,4.2,5.3
"wild bergamot",1,1,1,1,0,107,3,12,207,3,13,70.5,1,3.6
"green antelopehorn",1,1,0,1,1,1,0,1,2,0,2,1.5,NA,1.5
"tall blazing star",1,1,1,1,1,31,0,10,53,0,14,14.1,NA,2.1
"cardinalflower",1,1,1,1,0,60,0,15,108,0,26,33.7,NA,7.1
"red maple",2,1,0,0,0,3027,56,1015,7368,184,2728,2393,55.7,763.5
"eastern baccharis",2,1,0,0,0,33,12,29,91,45,86,24.8,13.6,24.4
"butterfly milkweed",2,1,1,1,1,195,13,60,390,19,135,116.9,4.3,37.1
"trumpet honeysuckle",2,1,0,0,0,31,9,17,56,16,35,14.6,6.2,9.5
"spider milkweed",2,0,1,1,1,27,14,20,36,14,26,3.9,3.3,3.4
"purple passionflower",2,1,0,0,0,22,8,16,31,13,25,5.8,2.5,4
"aquatic milkweed",2,1,0,0,0,6,5,5,7,6,6,1.1,1.1,1.1
"button eryngo",2,1,0,1,0,17,3,7,26,3,7,7.5,2,2.2
"upright prairie coneflower",2,1,1,0,0,13,2,2,28,2,2,13.2,1,1
"black elderberry",2,1,0,0,0,158,1,31,514,1,61,276,1,34
"tufted evening primrose",2,0,1,0,0,9,0,8,12,0,10,2.5,NA,2.1
"swamp milkweed",3,0,0,1,0,106,2,18,172,2,28,53.2,1,11
"golden crownbeard",3,0,0,1,0,1,1,1,2,2,2,1,1,1
"Goodding's willow",3,0,1,0,0,32,1,23,88,1,76,20.8,NA,17.9
"Missouri goldenrod",3,0,1,0,0,16,1,2,17,1,2,5.4,NA,1
"purple prairie clover",3,0,1,1,0,25,0,0,40,0,0,12.5,NA,NA
"white heath aster",3,1,1,1,0,27,0,2,45,0,8,16.8,NA,4.3
"rubber rabbitbrush",4,0,1,0,0,102,15,10,196,38,33,78.4,18.4,18.1
"horsetail milkweed",4,0,1,0,0,21,7,15,60,27,54,23.1,11.4,22.6
"broadleaf milkweed",4,0,1,1,0,7,4,7,19,15,19,6.8,6.2,6.8
"white crownbeard",4,0,0,1,0,6,5,6,15,14,15,2.3,2.1,2.3
"wrinkleleaf goldenrod",4,1,0,1,0,22,7,9,29,7,9,5.4,3.5,1.7
"blackeyed Susan",4,0,1,1,0,111,4,31,188,6,49,50.5,1.9,17.4
"lanceleaf tickseed",4,1,0,1,0,25,3,12,38,5,15,9.8,1,4
"Canada goldenrod",4,1,0,0,0,78,1,7,216,2,10,118,1,1.4
"seaside goldenrod",4,1,0,0,0,21,2,6,59,2,15,20.2,2,3.1
"New England aster",4,1,0,1,0,73,1,3,152,2,4,52.1,1,1.6
"common milkweed",4,0,0,1,0,464,1,34,1022,1,64,342.9,1,19
"pinkscale blazing star",4,1,0,1,0,1,1,1,1,1,1,1,1,1
"hairy false goldenaster",4,0,1,0,0,6,0,0,10,0,0,3.5,NA,NA
