"observation_id","person_id","partner_group","site_id","site_name","lat","lon","state","species_id","common_name","func_type","individual_id","phenophase_id","day_of_year","phenophase_status","intensity_category_id","intensity_value","obsdate","yr","php"
35477514,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,390,335,0,58,NA,2023-12-01,2023,"ripe fruit"
35543083,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,390,344,0,58,NA,2023-12-10,2023,"ripe fruit"
35571227,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,390,349,0,58,NA,2023-12-15,2023,"ripe fruit"
35667167,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,390,365,0,58,NA,2023-12-31,2023,"ripe fruit"
35477510,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,500,335,1,48,"1,001 to 10,000",2023-12-01,2023,"flower"
35543079,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,500,344,1,48,"1,001 to 10,000",2023-12-10,2023,"flower"
35571223,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,500,349,1,48,"1,001 to 10,000",2023-12-15,2023,"flower"
35667163,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,500,365,1,48,"1,001 to 10,000",2023-12-31,2023,"flower"
35477511,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,501,335,0,50,NA,2023-12-01,2023,"open flower"
35543080,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,501,344,0,50,NA,2023-12-10,2023,"open flower"
35571224,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,501,349,0,50,NA,2023-12-15,2023,"open flower"
35667164,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,501,365,0,50,NA,2023-12-31,2023,"open flower"
35477513,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,516,335,0,56,NA,2023-12-01,2023,"fruit"
35543082,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,516,344,0,56,NA,2023-12-10,2023,"fruit"
35571226,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,516,349,0,56,NA,2023-12-15,2023,"fruit"
35667166,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,516,365,0,56,NA,2023-12-31,2023,"fruit"
35477525,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,390,335,0,58,NA,2023-12-01,2023,"ripe fruit"
