"partner_group","site_id","site_name","lat","lon","state","species_id","common_name","func_type","individual_id","phenophase_id","first_yes_year","first_yes_doy","prior_no","last_yes_doy","php"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",25365,390,2023,274,NA,7,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",25365,390,2024,196,3,252,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",25365,500,2024,53,3,77,"flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",25365,501,2024,67,4,77,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",25365,516,2023,274,NA,7,"fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",25365,516,2024,77,3,252,"fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",46192,390,2023,274,NA,7,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",46192,390,2024,196,3,252,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",46192,500,2024,53,3,80,"flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",46192,501,2024,67,4,80,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",46192,516,2023,274,NA,7,"fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",7,"eastern redbud","Deciduous broadleaf",46192,516,2024,80,3,252,"fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",203,"common sunflower","Forb",87567,390,2024,161,3,168,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",203,"common sunflower","Forb",87567,500,2023,320,4,14,"flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",203,"common sunflower","Forb",87567,500,2024,123,4,168,"flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",203,"common sunflower","Forb",87567,501,2023,320,4,365,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",203,"common sunflower","Forb",87567,501,2024,10,3,14,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",203,"common sunflower","Forb",87567,501,2024,129,6,168,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",203,"common sunflower","Forb",87567,516,2024,147,4,168,"fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,390,2023,292,8,295,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,390,2024,158,3,175,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,390,2024,182,3,182,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,390,2024,203,7,203,"ripe fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,500,2023,284,3,334,"flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,500,2024,32,4,119,"flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,500,2024,129,6,238,"flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,501,2023,292,8,334,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,501,2024,35,3,119,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,501,2024,129,6,221,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,501,2024,228,2,238,"open flower"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,516,2023,292,8,299,"fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,516,2024,95,4,182,"fruit"
NA,8418,"my yard",32.363758,-94.873947,"TX",920,"trumpet honeysuckle","Deciduous broadleaf",87569,516,2024,193,4,207,"fruit"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,500,2023,335,NA,50,"flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120351,501,2024,40,13,50,"open flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,500,2023,344,9,63,"flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,501,2024,40,13,63,"open flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,500,2023,344,9,50,"flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,500,2024,63,6,68,"flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,501,2024,40,13,63,"open flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,390,2024,75,7,89,"ripe fruit"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,500,2023,349,5,57,"flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,501,2024,50,10,57,"open flower"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,516,2024,63,6,89,"fruit"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,390,2023,331,7,360,"ripe fruit"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,390,2024,8,6,43,"ripe fruit"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,500,2023,274,NA,331,"flower"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,500,2024,191,8,197,"flower"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,500,2024,211,7,274,"flower"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,501,2023,289,7,331,"open flower"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,501,2024,267,7,274,"open flower"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,516,2023,331,7,360,"fruit"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,"NM",436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,516,2024,8,6,43,"fruit"
