"partner_group","site_id","site_name","lat","lon","species_id","common_name","func_type","individual_id","phenophase_id","first_yes_year","first_yes_doy","prior_no","last_yes_doy","php","state"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",25365,390,2023,274,NA,7,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",25365,390,2024,196,3,252,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",25365,500,2024,53,3,77,"flower","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",25365,501,2024,67,4,77,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",25365,516,2023,274,NA,7,"fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",25365,516,2024,77,3,252,"fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",46192,390,2023,274,NA,7,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",46192,390,2024,196,3,252,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",46192,500,2024,53,3,80,"flower","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",46192,501,2024,67,4,80,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",46192,516,2023,274,NA,7,"fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,7,"eastern redbud","Deciduous broadleaf",46192,516,2024,80,3,252,"fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,203,"common sunflower","Forb",87567,390,2024,161,3,168,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,203,"common sunflower","Forb",87567,500,2023,320,4,14,"flower","TX"
NA,8418,"my yard",32.363758,-94.873947,203,"common sunflower","Forb",87567,500,2024,123,4,168,"flower","TX"
NA,8418,"my yard",32.363758,-94.873947,203,"common sunflower","Forb",87567,501,2023,320,4,365,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,203,"common sunflower","Forb",87567,501,2024,10,3,14,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,203,"common sunflower","Forb",87567,501,2024,129,6,168,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,203,"common sunflower","Forb",87567,516,2024,147,4,168,"fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,390,2023,292,8,295,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,390,2024,158,3,175,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,390,2024,182,3,182,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,390,2024,203,7,203,"ripe fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,500,2023,284,3,334,"flower","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,500,2024,32,4,119,"flower","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,500,2024,129,6,238,"flower","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,501,2023,292,8,334,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,501,2024,35,3,119,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,501,2024,129,6,221,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,501,2024,228,2,238,"open flower","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,516,2023,292,8,299,"fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,516,2024,95,4,182,"fruit","TX"
NA,8418,"my yard",32.363758,-94.873947,920,"trumpet honeysuckle","Deciduous broadleaf",87569,516,2024,193,4,207,"fruit","TX"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120351,500,2023,335,NA,50,"flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120351,501,2024,40,13,50,"open flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120414,500,2023,344,9,63,"flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120414,501,2024,40,13,63,"open flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120415,500,2023,344,9,50,"flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120415,500,2024,63,6,68,"flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120415,501,2024,40,13,63,"open flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120416,390,2024,75,7,89,"ripe fruit","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120416,500,2023,349,5,57,"flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120416,501,2024,50,10,57,"open flower","LA"
"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,3,"red maple","Deciduous broadleaf",120416,516,2024,63,6,89,"fruit","LA"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,390,2023,331,7,360,"ripe fruit","NM"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,390,2024,8,6,43,"ripe fruit","NM"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,500,2023,274,NA,331,"flower","NM"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,500,2024,191,8,197,"flower","NM"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,500,2024,211,7,274,"flower","NM"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,501,2023,289,7,331,"open flower","NM"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,501,2024,267,7,274,"open flower","NM"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,516,2023,331,7,360,"fruit","NM"
"ABQ BioPark Botanic Garden",16786,"Cottonwood Gallery 3",35.096119,-106.685783,436,"rubber rabbitbrush","Drought deciduous broadleaf",121707,516,2024,8,6,43,"fruit","NM"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127543,390,2024,45,7,66,"ripe fruit","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127543,500,2023,344,4,354,"flower","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127543,500,2024,3,4,10,"flower","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127543,500,2024,24,7,45,"flower","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127543,501,2024,31,7,45,"open flower","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127543,516,2024,45,7,66,"fruit","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127544,390,2024,52,7,66,"ripe fruit","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127544,500,2024,10,7,45,"flower","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127544,501,2024,31,7,45,"open flower","LA"
"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,3,"red maple","Deciduous broadleaf",127544,516,2024,45,7,66,"fruit","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Deciduous broadleaf",141889,390,2023,362,NA,362,"ripe fruit","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Deciduous broadleaf",141889,390,2024,271,22,271,"ripe fruit","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Deciduous broadleaf",141889,500,2024,117,9,249,"flower","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Deciduous broadleaf",141889,501,2024,144,7,249,"open flower","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Deciduous broadleaf",141889,516,2023,362,NA,362,"fruit","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Deciduous broadleaf",141889,516,2024,157,6,207,"fruit","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,201,"common buttonbush","Deciduous broadleaf",141889,516,2024,221,6,271,"fruit","LA"
"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,3,"red maple","Deciduous broadleaf",141923,390,2024,59,22,59,"ripe fruit","LA"
"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,3,"red maple","Deciduous broadleaf",141923,516,2024,59,22,59,"fruit","LA"
"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,804,"eastern baccharis","Deciduous broadleaf",141926,390,2023,308,33,308,"ripe fruit","LA"
"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,804,"eastern baccharis","Deciduous broadleaf",141926,500,2023,275,NA,275,"flower","LA"
"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,804,"eastern baccharis","Deciduous broadleaf",141926,500,2024,235,14,249,"flower","LA"
"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,804,"eastern baccharis","Deciduous broadleaf",141926,501,2023,275,NA,275,"open flower","LA"
"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,804,"eastern baccharis","Deciduous broadleaf",141926,516,2023,308,33,308,"fruit","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Forb",142390,500,2024,271,22,271,"flower","LA"
"Barataria Phenology Trail",27474,"Visitor Center Trail",29.784473,-90.114784,208,"white crownbeard","Forb",142390,501,2024,271,22,271,"open flower","LA"
